行,列,经度,纬度,起始月份,结束月份,持续月数,累积强度
0,13,113.75,36.25,2024-05,2024-05,1,1.4891
0,13,113.75,36.25,2025-04,2025-04,1,2.365
0,14,114.0,36.25,2016-04,2016-04,1,1.3381
0,14,114.0,36.25,2024-05,2024-05,1,1.6427
0,14,114.0,36.25,2025-04,2025-04,1,1.6438
0,15,114.25,36.25,2016-04,2016-04,1,1.2496
0,15,114.25,36.25,2024-05,2024-05,1,1.6778
0,15,114.25,36.25,2025-04,2025-04,1,1.1534
1,13,113.75,36.0,2016-04,2016-04,1,1.0647
1,13,113.75,36.0,2024-05,2024-05,1,1.1629
1,13,113.75,36.0,2025-04,2025-04,1,2.2248
1,14,114.0,36.0,2016-04,2016-04,1,1.4024
1,14,114.0,36.0,2019-05,2019-05,1,1.0512
1,14,114.0,36.0,2024-05,2024-05,1,1.5108
1,14,114.0,36.0,2025-04,2025-04,1,1.5608
1,15,114.25,36.0,2016-04,2016-04,1,1.185
1,15,114.25,36.0,2019-05,2019-05,1,1.099
1,15,114.25,36.0,2024-05,2024-05,1,1.5343
1,15,114.25,36.0,2025-04,2025-04,1,1.0498
1,16,114.5,36.0,2019-05,2019-05,1,1.1427
1,16,114.5,36.0,2024-05,2024-05,1,1.5905
1,17,114.75,36.0,2019-05,2019-05,1,1.2699
1,17,114.75,36.0,2022-04,2022-04,1,1.1471
1,17,114.75,36.0,2024-04,2024-05,2,2.69
1,18,115.0,36.0,2019-05,2019-05,1,1.3501
1,18,115.0,36.0,2022-04,2022-04,1,1.1637
1,18,115.0,36.0,2024-04,2024-05,2,2.7403
1,19,115.25,36.0,2019-05,2019-05,1,1.5693
1,19,115.25,36.0,2022-04,2022-04,1,1.2766
1,19,115.25,36.0,2024-04,2024-05,2,2.655
1,22,116.0,36.0,2019-05,2019-05,1,1.3662
1,22,116.0,36.0,2024-04,2024-04,1,2.2773
1,22,116.0,36.0,2025-05,2025-05,1,1.3348
2,13,113.75,35.75,2016-04,2016-04,1,1.1626
2,13,113.75,35.75,2019-05,2019-05,1,1.0248
2,13,113.75,35.75,2025-04,2025-04,1,2.0601
2,14,114.0,35.75,2016-04,2016-04,1,1.4151
2,14,114.0,35.75,2019-05,2019-05,1,1.2589
2,14,114.0,35.75,2024-05,2024-05,1,1.1867
2,14,114.0,35.75,2025-04,2025-04,1,1.3955
2,15,114.25,35.75,2019-05,2019-05,1,1.1195
2,15,114.25,35.75,2021-05,2021-05,1,1.0106
2,15,114.25,35.75,2024-05,2024-05,1,1.2494
2,16,114.5,35.75,2019-05,2019-05,1,1.2931
2,16,114.5,35.75,2022-04,2022-04,1,1.0924
2,16,114.5,35.75,2024-05,2024-05,1,1.2598
2,17,114.75,35.75,2019-05,2019-05,1,1.4421
2,17,114.75,35.75,2022-04,2022-04,1,1.195
2,17,114.75,35.75,2024-04,2024-05,2,2.306
2,18,115.0,35.75,2019-05,2019-05,1,1.4199
2,18,115.0,35.75,2022-04,2022-04,1,1.3214
2,18,115.0,35.75,2024-04,2024-05,2,2.3683
2,19,115.25,35.75,2019-05,2019-05,1,1.4268
2,19,115.25,35.75,2022-04,2022-04,1,1.2763
2,19,115.25,35.75,2024-04,2024-04,1,1.56
2,20,115.5,35.75,2019-05,2019-05,1,1.4212
2,20,115.5,35.75,2024-04,2024-04,1,1.7367
3,12,113.5,35.5,2016-04,2016-04,1,1.0716
3,12,113.5,35.5,2025-04,2025-04,1,1.4642
3,13,113.75,35.5,2016-04,2016-04,1,1.2099
3,13,113.75,35.5,2021-05,2021-05,1,1.0051
3,13,113.75,35.5,2025-04,2025-04,1,1.5629
3,14,114.0,35.5,2016-04,2016-04,1,1.0193
3,14,114.0,35.5,2019-05,2019-05,1,1.1654
3,14,114.0,35.5,2021-05,2021-05,1,1.0265
3,14,114.0,35.5,2025-04,2025-04,1,1.0853
3,15,114.25,35.5,2019-05,2019-05,1,1.1906
3,15,114.25,35.5,2022-04,2022-04,1,1.1727
3,16,114.5,35.5,2019-05,2019-05,1,1.3325
3,16,114.5,35.5,2022-04,2022-04,1,1.2486
3,16,114.5,35.5,2024-04,2024-04,1,1.078
3,17,114.75,35.5,2019-05,2019-05,1,1.4217
3,17,114.75,35.5,2022-04,2022-04,1,1.173
3,17,114.75,35.5,2024-04,2024-04,1,1.2752
3,18,115.0,35.5,2019-05,2019-05,1,1.3944
3,18,115.0,35.5,2022-04,2022-04,1,1.2108
3,18,115.0,35.5,2024-04,2024-04,1,1.304
3,19,115.25,35.5,2019-05,2019-05,1,1.3211
3,19,115.25,35.5,2024-04,2024-04,1,1.3904
4,10,113.0,35.25,2019-05,2019-05,1,1.0522
4,10,113.0,35.25,2025-04,2025-04,1,1.519
4,11,113.25,35.25,2025-04,2025-04,1,1.8268
4,12,113.5,35.25,2021-05,2021-05,1,1.0951
4,12,113.5,35.25,2025-04,2025-04,1,1.8282
4,13,113.75,35.25,2019-05,2019-05,1,1.1116
4,13,113.75,35.25,2021-05,2021-05,1,1.0394
4,13,113.75,35.25,2022-04,2022-04,1,1.2248
4,13,113.75,35.25,2025-04,2025-04,1,1.6187
4,14,114.0,35.25,2019-05,2019-05,1,1.2975
4,14,114.0,35.25,2021-05,2021-05,1,1.0221
4,14,114.0,35.25,2022-04,2022-04,1,1.4152
4,15,114.25,35.25,2019-05,2019-05,1,1.1516
4,15,114.25,35.25,2022-04,2022-04,1,1.4248
4,16,114.5,35.25,2019-05,2019-05,1,1.2137
4,16,114.5,35.25,2022-04,2022-04,1,1.3093
4,16,114.5,35.25,2024-04,2024-04,1,1.2623
4,17,114.75,35.25,2019-05,2019-05,1,1.2818
4,17,114.75,35.25,2022-04,2022-04,1,1.1276
4,17,114.75,35.25,2024-04,2024-04,1,1.4239
5,5,111.75,35.0,2019-05,2019-05,1,1.1444
5,5,111.75,35.0,2025-04,2025-05,2,3.7953
5,6,112.0,35.0,2019-05,2019-05,1,1.0555
5,6,112.0,35.0,2025-04,2025-05,2,4.1332
5,7,112.25,35.0,2022-04,2022-04,1,1.1557
5,7,112.25,35.0,2025-04,2025-05,2,3.3588
5,8,112.5,35.0,2022-04,2022-04,1,1.555
5,8,112.5,35.0,2025-04,2025-05,2,2.7832
5,9,112.75,35.0,2022-04,2022-04,1,1.62
5,9,112.75,35.0,2025-04,2025-04,1,1.4468
5,10,113.0,35.0,2019-05,2019-05,1,1.5144
5,10,113.0,35.0,2022-04,2022-04,1,1.2954
5,10,113.0,35.0,2025-04,2025-04,1,1.1533
5,11,113.25,35.0,2019-05,2019-05,1,1.3543
5,11,113.25,35.0,2022-04,2022-04,1,1.0879
5,11,113.25,35.0,2025-04,2025-04,1,1.401
5,12,113.5,35.0,2019-05,2019-05,1,1.1843
5,12,113.5,35.0,2022-04,2022-04,1,1.3005
5,12,113.5,35.0,2025-04,2025-04,1,1.6534
5,13,113.75,35.0,2019-05,2019-05,1,1.0854
5,13,113.75,35.0,2022-04,2022-04,1,1.4527
5,13,113.75,35.0,2025-04,2025-04,1,1.712
5,14,114.0,35.0,2019-05,2019-05,1,1.2116
5,14,114.0,35.0,2022-04,2022-04,1,1.1674
5,14,114.0,35.0,2025-04,2025-04,1,1.4366
